Date,Open,High,Low,Close,Volume,Adj Close
2025-10-28 13:22:28.440574,24000.0,24176.173979966657,23842.23188971784,24000.0,1446164,24000.0
2025-10-29 13:22:28.440574,24194.49113453906,24440.48184396487,24102.99374688105,24194.49113453906,1112301,24194.49113453906
2025-10-30 13:22:28.440574,23789.19196659935,23919.230474125117,23629.705604563904,23789.19196659935,1757334,23789.19196659935
2025-10-31 13:22:28.440574,24379.66972610812,24495.55265771024,24298.076979853176,24379.66972610812,589709,24379.66972610812
2025-11-03 13:22:28.440574,24774.333671530643,24910.476729297643,24664.97489639033,24774.333671530643,1107036,24774.333671530643
2025-11-04 13:22:28.440574,25321.63568286543,25327.801736738755,25278.30949381869,25321.63568286543,1738951,25321.63568286543
2025-11-05 13:22:28.440574,24842.206415314406,24887.603931746642,24825.508750096815,24842.206415314406,1413305,24842.206415314406
2025-11-06 13:22:28.440574,24825.382402090152,25128.153322442777,24618.116257408892,24825.382402090152,1238649,24825.382402090152
2025-11-07 13:22:28.440574,25072.63323552458,25239.875468618564,24935.302063573363,25072.63323552458,797909,25072.63323552458
2025-11-10 13:22:28.440574,25144.033876573478,25187.385016183514,24991.64106058297,25144.033876573478,1061678,25144.033876573478
2025-11-11 13:22:28.440574,24955.54461200812,25028.813539990595,24699.91542073944,24955.54461200812,1402189,24955.54461200812
2025-11-12 13:22:28.440574,24927.563705162524,24950.466574113776,24700.395260459285,24927.563705162524,1350510,24927.563705162524
2025-11-13 13:22:28.440574,24309.61894623305,24358.367132024807,24189.390620373593,24309.61894623305,711603,24309.61894623305
2025-11-14 13:22:28.440574,23955.509022370046,23990.760942044413,23794.045873523704,23955.509022370046,1046548,23955.509022370046
2025-11-17 13:22:28.440574,23446.161291149132,23478.314054809227,23313.371294940556,23446.161291149132,1164348,23446.161291149132
2025-11-18 13:22:28.440574,23885.519696334348,24068.743641545134,23700.45971740411,23885.519696334348,1217585,23885.519696334348
2025-11-19 13:22:28.440574,23876.2304716657,24111.141369861067,23875.218436959385,23876.2304716657,1071112,23876.2304716657
2025-11-20 13:22:28.440574,23832.133016190925,24054.0541340418,23787.979345368723,23832.133016190925,502211,23832.133016190925
2025-11-21 13:22:28.440574,24221.339638595902,24239.486899485888,24133.054397893564,24221.339638595902,1389596,24221.339638595902
2025-11-24 13:22:28.440574,23999.034333251024,24084.298331346043,23986.47820222883,23999.034333251024,1528981,23999.034333251024
2025-11-25 13:22:28.440574,24495.96738154164,24634.9236049829,24328.36078212041,24495.96738154164,988986,24495.96738154164
2025-11-26 13:22:28.440574,24333.596884511804,24375.48941945095,24303.184647123384,24333.596884511804,1499573,24333.596884511804
2025-11-27 13:22:28.440574,24842.860227431258,24859.21069060917,24805.837478023106,24842.860227431258,1560876,24842.860227431258
